generation,best_formula,combined_fitness,fitness,novelty,complexity,strict_hits,closeness,variance
63,553*x**2 + 235*x + 8,1670658.326877416,5.311493379053535e-09,1670658.5268774107,20,0,5.311493379053535e-09,2791099913428.2
64,561*x**2 + 109*x,1691207.4258447473,5.253737997809275e-09,1691207.585844742,16,0,5.253737997809275e-09,2860183098418.8
65,571*x**2 + 125*x,1721746.9113556675,5.159826449856538e-09,1721747.0713556623,16,0,5.159826449856538e-09,2964412977721.8
66,581*x**2 + 141*x,1752286.4025059212,5.069213315071458e-09,1752286.562505916,16,0,5.069213315071458e-09,3070508197138.8
67,587*x**2 + 114*x,1769586.3671869214,5.021012485360108e-09,1769586.5271869162,16,0,5.021012485360108e-09,3131436477201.45
68,598*x**2 + 124*x,1802967.2245314613,4.9276772691490625e-09,1802967.3845314563,16,0,4.9276772691490625e-09,3250691389684.2
69,610*x**2 + 110*x,1838685.9894502042,4.832671924188445e-09,1838686.1494501992,16,0,4.832671924188445e-09,3380766756180.0
70,613*x**2 + 116*x,1847881.3977280564,4.8083807845986875e-09,1847881.5577280514,16,0,4.8083807845986875e-09,3414666251391.45
71,624*x**2 + 109*x + 5,1880786.720815877,4.724620352895312e-09,1880786.9208158723,20,0,4.724620352895312e-09,3537359441512.05
72,628*x**2 + 86*x,1892180.2521266625,4.697173947173553e-09,1892180.4021266578,15,0,4.697173947173553e-09,3580346674192.2
73,640*x**2 + 125*x + 8,1929381.3759489537,4.605070999188688e-09,1929381.575948949,20,0,4.605070999188688e-09,3722513265611.25
74,653*x**2 + 210*x,1970878.5265353909,4.504932310734121e-09,1970878.6865353864,16,0,4.504932310734121e-09,3884362797039.45
75,666*x**2 + 215*x,2010137.926527905,4.416908104433622e-09,2010138.0865279005,16,0,4.416908104433622e-09,4040655126910.05
76,677*x**2 + 212*x,2043155.1568370408,4.345758677291514e-09,2043155.3168370363,16,0,4.345758677291514e-09,4174483648719.45
77,689*x**2 + 219*x,2079461.3062026843,4.269764251969241e-09,2079461.46620268,16,0,4.269764251969241e-09,4324159989421.8
78,704*x**2 + 136*x,2122277.618078265,4.186534073438875e-09,2122277.778078261,16,0,4.186534073438875e-09,4504062967324.8
79,709*x**2 + 137*x,2137351.567193916,4.157003918907363e-09,2137351.727193912,16,0,4.157003918907363e-09,4568272405738.8
80,721*x**2 + 134*x,2173378.0058195307,4.088258669097316e-09,2173378.1658195267,16,0,4.088258669097316e-09,4723572651661.05
81,721*x**2 + 134*x,2173378.0058195307,4.088258669097316e-09,2173378.1658195267,16,0,4.088258669097316e-09,4723572651661.05
82,726*x**2 + 207*x,2190465.8674407518,4.0541090913242314e-09,2190466.0274407477,16,0,4.0541090913242314e-09,4798141417372.05
83,731*x**2 + 112*x - 5,2202854.5865701605,4.034294439703835e-09,2202854.7865701565,20,0,4.034294439703835e-09,4852569210715.05
84,734*x**2 + 223*x,2214986.982241703,4.008804649899103e-09,2214987.142241699,16,0,4.008804649899103e-09,4906168040296.05
85,743*x**2 + 130*x - 9,2239468.3932273015,3.967852175984815e-09,2239468.5932272975,20,0,3.967852175984815e-09,5015219580051.45
86,754*x**2 + 231*x + 3,2275394.6255689748,3.9023077850205214e-09,2275394.825568971,20,0,3.9023077850205214e-09,5177421612226.05
87,755*x**2 + 221*x,2278124.1400321596,3.897933879877715e-09,2278124.300032156,16,0,3.897933879877715e-09,5189850326397.0
88,769*x**2 + 109*x - 6,2317120.1220762655,3.835578448265189e-09,2317120.322076262,20,0,3.835578448265189e-09,5369046586978.8
89,774*x**2 + 89*x,2331606.7678534505,3.812309075272663e-09,2331606.9178534467,15,0,3.812309075272663e-09,5436390819382.05
90,782*x**2 + 162*x,2357722.1166134304,3.768129393704816e-09,2357722.276613427,16,0,3.768129393704816e-09,5558854333639.2
91,792*x**2 + 73*x,2385324.7952476004,3.7269249584181395e-09,2385324.9452475966,15,0,3.7269249584181395e-09,5689775094420.45
92,803*x**2 + 122*x - 8,2419796.3862281623,3.6726060075504812e-09,2419796.586228159,20,0,3.6726060075504812e-09,5855415518721.45
93,807*x**2 + 199*x,2433986.929688279,3.6492452331770635e-09,2433987.0896882755,16,0,3.6492452331770635e-09,5924293152769.2
94,821*x**2 + 176*x,2475472.33735057,3.58873115163409e-09,2475472.4973505666,16,0,3.58873115163409e-09,6127964085139.05
95,821*x**2 + 176*x,2475472.33735057,3.58873115163409e-09,2475472.4973505666,16,0,3.58873115163409e-09,6127964085139.05
96,827*x**2 + 118*x,2491905.2496830137,3.5664963871498593e-09,2491905.40968301,16,0,3.5664963871498593e-09,6209592570807.45
97,838*x**2 + 196*x,2527188.07980728,3.5149018199346165e-09,2527188.2398072765,16,0,3.5149018199346165e-09,6386680399420.2
98,842*x**2 + 143*x,2537742.4295233088,3.501538880818114e-09,2537742.589523305,16,0,3.501538880818114e-09,6440137450680.45
99,854*x**2 + 186*x,2575055.501764385,3.4498691305944784e-09,2575055.661764382,16,0,3.4498691305944784e-09,6630911661184.8
100,857*x**2 + 91*x,2581425.9717281074,3.4435099493057484e-09,2581426.121728104,15,0,3.4435099493057484e-09,6663760821940.2
101,862*x**2 + 160*x + 6,2598401.796327015,3.419479505431652e-09,2598401.996327012,20,0,3.419479505431652e-09,6751692934516.2
